time	V(clk)	V(d)	V(q)	V(r)
0.000000000000000e+000	0.000000e+000	0.000000e+000	8.669427e-009	0.000000e+000
1.000000003627494e-015	0.000000e+000	0.000000e+000	1.192507e-005	1.800000e-003
2.000000007254988e-015	0.000000e+000	0.000000e+000	2.384201e-005	3.600000e-003
4.000000014509975e-015	0.000000e+000	0.000000e+000	4.765901e-005	7.200000e-003
8.000000029019950e-015	0.000000e+000	0.000000e+000	9.519830e-005	1.440000e-002
3.200000011607980e-014	0.000000e+000	0.000000e+000	3.777519e-004	5.760000e-002
6.400000023215960e-014	0.000000e+000	0.000000e+000	7.474806e-004	1.152000e-001
1.280000004643192e-013	0.000000e+000	0.000000e+000	1.470179e-003	2.304000e-001
2.560000009286384e-013	0.000000e+000	0.000000e+000	2.873331e-003	4.608000e-001
5.120000018572768e-013	0.000000e+000	0.000000e+000	5.380007e-003	9.216000e-001
9.306904776535714e-013	0.000000e+000	0.000000e+000	8.770394e-003	1.675243e+000
1.000000000000000e-012	0.000000e+000	0.000000e+000	9.213977e-003	1.800000e+000
1.015077610471544e-012	0.000000e+000	0.000000e+000	9.138722e-003	1.800000e+000
1.045232831414632e-012	0.000000e+000	0.000000e+000	8.989708e-003	1.800000e+000
1.105543273300808e-012	0.000000e+000	0.000000e+000	8.698867e-003	1.800000e+000
1.226164157073160e-012	0.000000e+000	0.000000e+000	8.145128e-003	1.800000e+000
1.467405924617864e-012	0.000000e+000	0.000000e+000	7.138527e-003	1.800000e+000
1.949889459707273e-012	0.000000e+000	0.000000e+000	5.456786e-003	1.800000e+000
2.914856529886089e-012	0.000000e+000	0.000000e+000	3.023092e-003	1.800000e+000
4.844790670243723e-012	0.000000e+000	0.000000e+000	1.706446e-004	1.800000e+000
8.704658950958989e-012	0.000000e+000	0.000000e+000	-2.331890e-003	1.800000e+000
1.477596733877257e-011	0.000000e+000	0.000000e+000	-3.255305e-003	1.800000e+000
2.682151983627689e-011	0.000000e+000	0.000000e+000	-2.640755e-003	1.800000e+000
5.091262483128553e-011	0.000000e+000	0.000000e+000	-2.396113e-004	1.800000e+000
6.809678545636210e-011	0.000000e+000	0.000000e+000	1.188020e-003	1.800000e+000
9.249818305117741e-011	0.000000e+000	0.000000e+000	1.450197e-003	1.800000e+000
1.204544295100371e-010	0.000000e+000	0.000000e+000	4.795269e-004	1.800000e+000
1.462306706356292e-010	0.000000e+000	0.000000e+000	-1.677266e-005	1.800000e+000
1.777523115358292e-010	0.000000e+000	0.000000e+000	-2.068169e-005	1.800000e+000
2.407955933362293e-010	0.000000e+000	0.000000e+000	6.659724e-006	1.800000e+000
3.407955933362293e-010	0.000000e+000	0.000000e+000	-3.457717e-008	1.800000e+000
4.407955933362293e-010	0.000000e+000	0.000000e+000	1.068622e-006	1.800000e+000
5.407955933362293e-010	0.000000e+000	0.000000e+000	3.760033e-008	1.800000e+000
6.407955933362293e-010	0.000000e+000	0.000000e+000	7.496919e-007	1.800000e+000
7.407955933362293e-010	0.000000e+000	0.000000e+000	1.031731e-008	1.800000e+000
8.407955933362292e-010	0.000000e+000	0.000000e+000	5.345369e-007	1.800000e+000
9.407955933362292e-010	0.000000e+000	0.000000e+000	2.071374e-009	1.800000e+000
1.183652736193372e-009	0.000000e+000	0.000000e+000	3.984014e-008	1.800000e+000
1.426509879050515e-009	0.000000e+000	0.000000e+000	6.654316e-008	1.800000e+000
1.669367021907658e-009	0.000000e+000	0.000000e+000	8.218044e-008	1.800000e+000
1.912224164764801e-009	0.000000e+000	0.000000e+000	8.675197e-008	1.800000e+000
2.155081307621945e-009	0.000000e+000	0.000000e+000	8.025775e-008	1.800000e+000
2.397938450479088e-009	0.000000e+000	0.000000e+000	6.269779e-008	1.800000e+000
2.640795593336230e-009	0.000000e+000	0.000000e+000	3.407209e-008	1.800000e+000
3.212224164764802e-009	0.000000e+000	0.000000e+000	2.445359e-008	1.800000e+000
3.783652736193374e-009	0.000000e+000	0.000000e+000	1.689002e-008	1.800000e+000
4.355081307621946e-009	0.000000e+000	0.000000e+000	1.138138e-008	1.800000e+000
4.926509879050519e-009	0.000000e+000	0.000000e+000	7.927678e-009	1.800000e+000
5.497938450479090e-009	0.000000e+000	0.000000e+000	6.528902e-009	1.800000e+000
6.069367021907663e-009	0.000000e+000	0.000000e+000	7.185056e-009	1.800000e+000
6.640795593336233e-009	0.000000e+000	0.000000e+000	9.896141e-009	1.800000e+000
7.826509879050512e-009	0.000000e+000	0.000000e+000	9.627148e-009	1.800000e+000
9.012224164764790e-009	0.000000e+000	0.000000e+000	9.401704e-009	1.800000e+000
1.019793845047907e-008	0.000000e+000	0.000000e+000	9.219808e-009	1.800000e+000
1.138365273619335e-008	0.000000e+000	0.000000e+000	9.081460e-009	1.800000e+000
1.256936702190762e-008	0.000000e+000	0.000000e+000	8.986661e-009	1.800000e+000
1.375508130762190e-008	0.000000e+000	0.000000e+000	8.935411e-009	1.800000e+000
1.494079559333618e-008	0.000000e+000	0.000000e+000	8.927709e-009	1.800000e+000
1.566339622285959e-008	0.000000e+000	0.000000e+000	8.905849e-009	1.800000e+000
1.638599685238299e-008	0.000000e+000	0.000000e+000	8.885927e-009	1.800000e+000
1.710859748190640e-008	0.000000e+000	0.000000e+000	8.867945e-009	1.800000e+000
1.783119811142981e-008	0.000000e+000	0.000000e+000	8.851902e-009	1.800000e+000
1.855379874095322e-008	0.000000e+000	0.000000e+000	8.837798e-009	1.800000e+000
1.927639937047663e-008	0.000000e+000	0.000000e+000	8.825633e-009	1.800000e+000
1.999900000000003e-008	0.000000e+000	0.000000e+000	8.815408e-009	1.800000e+000
2.000000000000000e-008	0.000000e+000	0.000000e+000	8.815394e-009	1.800000e+000
2.000005873586743e-008	1.057246e-001	0.000000e+000	7.365324e-003	1.800000e+000
2.000017620760230e-008	3.171737e-001	0.000000e+000	2.183680e-002	1.800000e+000
2.000041115107202e-008	7.400720e-001	0.000000e+000	4.983220e-002	1.800000e+000
2.000061699371213e-008	1.110589e+000	0.000000e+000	7.290632e-002	1.800000e+000
2.000100000000000e-008	1.800000e+000	0.000000e+000	1.134262e-001	1.800000e+000
2.000103830062879e-008	1.800000e+000	0.000000e+000	1.122777e-001	1.800000e+000
2.000111490188636e-008	1.800000e+000	0.000000e+000	1.100034e-001	1.800000e+000
2.000126810440151e-008	1.800000e+000	0.000000e+000	1.055668e-001	1.800000e+000
2.000157450943181e-008	1.800000e+000	0.000000e+000	9.714585e-002	1.800000e+000
2.000218731949240e-008	1.800000e+000	0.000000e+000	8.201455e-002	1.800000e+000
2.000341293961359e-008	1.800000e+000	0.000000e+000	5.760677e-002	1.800000e+000
2.000586417985597e-008	1.800000e+000	0.000000e+000	2.535374e-002	1.800000e+000
2.001076666034072e-008	1.800000e+000	0.000000e+000	-5.121672e-003	1.800000e+000
2.001854654672855e-008	1.800000e+000	0.000000e+000	-1.666307e-002	1.800000e+000
2.002684976846692e-008	1.800000e+000	0.000000e+000	-1.299038e-002	1.800000e+000
2.004010364308752e-008	1.800000e+000	0.000000e+000	-4.663345e-003	1.800000e+000
2.005579601706683e-008	1.800000e+000	0.000000e+000	2.567621e-004	1.800000e+000
2.007100820818250e-008	1.800000e+000	0.000000e+000	1.151458e-003	1.800000e+000
2.008603479934850e-008	1.800000e+000	0.000000e+000	5.765562e-004	1.800000e+000
